id,name,host_id,host_name,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,number_of_reviews,review_scores_rating
1007193960238063590,Rental unit in Singapore · ★New · 2 bedrooms · 2 beds · 2 baths,47455298,Daz,False,2,True,Queenstown,Entire home/apt,4,2,176.0,92.0,365.0,True,0,NaN
1007463266235891109,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1.5 baths,69005937,Keith Lau,False,2,True,Geylang,Entire home/apt,1,1,117.0,92.0,365.0,True,0,NaN
1007560068955534115,Home in Singapore · ★New · 5 bedrooms · 5 beds · 3 baths,211210302,Sunny&Lucy,False,24,True,Kallang,Entire home/apt,16,5,529.0,1.0,365.0,True,0,NaN
1007597646150189166,Serviced apartment in Singapore · ★5.0 · 2 bedrooms · 3 beds · 1 bath,323944827,Green,False,13,True,Geylang,Entire home/apt,7,3,221.0,2.8,365.0,True,5,5.0
1008210344154207472,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 private bath,95081871,Sheikh,False,1,True,Hougang,Private room,2,1,93.0,1.0,365.0,True,1,5.0
1008596981366079541,Rental unit in Singapore · ★New · 1 bedroom · 2 beds · 2 baths,23874147,Adrian,True,3,True,Woodlands,Private room,2,2,46.0,92.0,365.0,True,0,NaN
1008632473714545936,Home in Singapore · ★New · 1 bedroom · 6 beds · 1 shared bath,482211922,SG Room,False,2,True,Rochor,Shared room,6,6,63.0,1.0,365.0,True,0,NaN
1008674645989295349,Home in Singapore · ★New · Studio · 1 bed · 1 shared bath,509267898,Myprotein,False,2,True,Jurong West,Shared room,1,1,4649.0,1.0,365.0,True,0,NaN
1008723918260154181,Rental unit in Singapore · ★New · 1 bedroom · 2 beds · 1 bath,109333133,Pat,False,83,True,River Valley,Entire home/apt,5,2,259.0,2.0,365.0,True,0,NaN
1008723963440015334,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,46685310,Yyin,False,59,True,River Valley,Entire home/apt,4,1,309.0,2.0,365.0,True,2,5.0
1008723978214018748,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,46685310,Yyin,False,59,True,River Valley,Entire home/apt,5,1,265.0,2.0,365.0,True,0,NaN
1008723992296489655,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 private bath,46685310,Yyin,False,59,True,River Valley,Private room,2,1,160.0,2.0,365.0,True,0,NaN
1008724031791767227,Rental unit in Singapore · ★New · 1 bedroom · 2 beds · 1 bath,109333133,Pat,False,83,True,River Valley,Entire home/apt,5,2,242.0,2.0,365.0,True,0,NaN
1008724678882278665,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 private bath,10248444,Recr,False,91,True,River Valley,Private room,2,1,156.0,2.0,365.0,True,0,NaN
1009118614327892921,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 private bath,9777236,Vicky,False,6,True,Novena,Private room,2,1,130.0,92.0,365.0,True,0,NaN
1009201670142479350,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 private bath,9777236,Vicky,False,6,True,Novena,Private room,1,1,120.0,92.0,365.0,True,0,NaN
1009310616747753745,Hotel in Singapore · ★New · 1 bedroom · 1 bed · 1 shared bath,535899829,Kam Leng Hotel,False,3,True,Kallang,Private room,2,1,119.0,1.0,60.0,True,2,4.5
1009651833336339483,Hotel in Singapore · ★New · 1 bedroom · 1 bed · 1 shared bath,1439258,Kay,False,68,True,Queenstown,Private room,1,1,116.0,1.0,365.0,True,0,NaN
1009662020699585686,Hotel in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,1439258,Kay,False,68,True,Queenstown,Private room,1,1,116.0,1.0,365.0,True,1,5.0
1009796313105602438,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,466330896,Blueground,False,96,True,Downtown Core,Entire home/apt,2,1,217.0,354.9,1125.0,True,0,NaN
1009797017316383416,Rental unit in Singapore · ★New · 2 bedrooms · 2 beds · 2 baths,466330896,Blueground,False,96,True,Bukit Merah,Entire home/apt,4,2,296.0,355.0,1125.0,True,0,NaN
